client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,age_group,Variation
180404,11.0,137.0,26,M,3.0,139541.16,6.0,9.0,26-35,Control
8346558,19.0,230.0,54,M,2.0,333930.59,6.0,9.0,46-55,Control
9463775,14.0,178.0,52,M,2.0,31821.16,6.0,9.0,46-55,Test
8750508,10.0,123.0,56,F,3.0,140649.47,6.0,9.0,56-65,Control
5199388,13.0,158.0,78,M,3.0,55488.67,6.0,9.0,65+,Test
1750910,18.0,225.0,69,F,2.0,85059.6,6.0,9.0,65+,Control
2014480,8.0,107.0,28,M,3.0,154434.34,6.0,9.0,26-35,Test
6717675,21.0,254.0,70,M,2.0,389596.09,6.0,9.0,65+,Test
9525559,8.0,104.0,24,F,2.0,35509.55,6.0,9.0,19-25,Control
6372831,8.0,106.0,57,M,2.0,39064.72,6.0,9.0,56-65,Control
7560060,18.0,220.0,54,M,2.0,69835.95,6.0,9.0,46-55,Test
1439774,9.0,111.0,59,M,2.0,81859.95999999999,6.0,9.0,56-65,Test
1257755,14.0,175.0,44,M,2.0,95420.42,6.0,9.0,36-45,Test
8585568,5.0,64.0,54,F,3.0,46785.27,6.0,9.0,46-55,Test
1867695,23.0,285.0,38,M,2.0,44183.13,6.0,9.0,36-45,Test
4989657,19.0,239.0,60,M,2.0,242561.71,6.0,9.0,56-65,Control
6866442,24.0,288.0,57,M,3.0,84346.4,6.0,9.0,56-65,Control
9055908,18.0,225.0,48,M,3.0,435715.25,6.0,9.0,46-55,Test
3532587,9.0,114.0,31,F,2.0,84904.61,6.0,9.0,26-35,Test
7661252,18.0,227.0,62,M,5.0,283061.85,6.0,9.0,56-65,Test
2651828,3.0,47.0,75,M,2.0,193334.04,6.0,9.0,65+,Test
7943618,14.0,173.0,48,M,2.0,65721.85,6.0,9.0,46-55,Test
126758,16.0,197.0,42,F,2.0,161496.86,6.0,9.0,36-45,Test
2927426,15.0,183.0,51,M,2.0,27408.07,6.0,9.0,46-55,Test
7071370,21.0,252.0,50,M,3.0,27101.72,6.0,9.0,46-55,Control
7778678,11.0,134.0,37,F,2.0,56317.15,6.0,9.0,36-45,Test
7537056,27.0,328.0,32,M,3.0,78415.36,6.0,9.0,26-35,Test
7673166,21.0,261.0,60,F,2.0,165421.41999999998,6.0,9.0,56-65,Test
5937062,8.0,106.0,25,F,3.0,48689.28,6.0,9.0,26-35,Control
9243506,11.0,143.0,24,F,2.0,30618.79,6.0,9.0,19-25,Test
521204,21.0,253.0,28,F,3.0,37090.22,6.0,9.0,26-35,Control
83447,17.0,214.0,48,M,2.0,190150.37,6.0,9.0,46-55,Control
3978758,9.0,112.0,36,M,3.0,105910.55,6.0,9.0,36-45,Control
7563473,19.0,239.0,48,M,2.0,152375.7,6.0,9.0,46-55,Control
9597731,11.0,135.0,62,F,2.0,88580.20999999999,4.0,9.0,56-65,Test
3232607,11.0,139.0,40,M,2.0,93090.11,6.0,9.0,36-45,Control
6545883,24.0,296.0,58,M,4.0,1073891.27,6.0,9.0,56-65,Test
1862061,13.0,157.0,54,M,2.0,407569.86,6.0,9.0,46-55,Test
3312433,21.0,262.0,48,M,2.0,138196.5,6.0,9.0,46-55,Control
7182695,21.0,252.0,52,M,3.0,201494.05,6.0,9.0,46-55,Test
605353,21.0,259.0,47,F,4.0,499624.15,6.0,9.0,46-55,Test
943088,23.0,287.0,51,F,3.0,355078.13,6.0,9.0,46-55,Control
1339225,15.0,188.0,46,M,2.0,244543.74,6.0,9.0,46-55,Test
7410126,14.0,168.0,52,M,6.0,492171.85,6.0,9.0,46-55,Test
2806047,16.0,193.0,38,F,2.0,77045.13,6.0,9.0,36-45,Control
9788883,22.0,275.0,64,F,2.0,98833.06,6.0,9.0,56-65,Test
6747794,15.0,181.0,40,M,2.0,490705.59,6.0,9.0,36-45,Test
4960154,9.0,119.0,65,M,2.0,217544.63,6.0,9.0,65+,Control
7297929,10.0,123.0,31,M,3.0,136582.03999999998,6.0,9.0,26-35,Control
3940497,18.0,222.0,65,F,2.0,133482.09,6.0,9.0,65+,Test
