client_id,completed,Variation
555,1,Test
647,1,Test
934,0,Test
1028,0,Control
1104,0,Control
1186,0,Control
1195,1,Control
1197,1,Control
1336,1,Test
1346,0,Test
1368,0,Control
1516,1,Test
1643,1,Test
1702,1,Test
1755,1,Test
1836,1,Test
1936,1,Test
2439,0,Control
2581,0,Control
2720,0,Test
3232,1,Test
3572,1,Test
3647,0,Control
3743,1,Control
4369,1,Test
4484,1,Test
4603,1,Test
4717,1,Test
4870,1,Test
5354,1,Control
5845,0,Test
6022,0,Test
6150,0,Test
6642,1,Control
6904,1,Test
6977,1,Control
6985,1,Control
7020,1,Control
7561,0,Test
7563,1,Test
7567,1,Control
7657,1,Test
7723,1,Test
7934,0,Test
8023,0,Test
8039,0,Control
8055,1,Test
8101,1,Control
8124,0,Control
8610,0,Test
8712,0,Test
8820,1,Test
9229,0,Control
9751,0,Test
9767,1,Control
9845,0,Control
9916,1,Test
10344,0,Control
10363,0,Test
11040,1,Test
11054,1,Control
11070,1,Control
11122,1,Control
11309,1,Test
11880,1,Test
12045,0,Control
12785,1,Test
13009,1,Control
13735,1,Test
13831,0,Control
14690,0,Test
14775,0,Control
15050,1,Test
15189,1,Test
15753,0,Test
15807,0,Test
16095,0,Control
16098,1,Test
16135,1,Control
16202,0,Control
16295,1,Test
16549,1,Control
16679,0,Control
16744,0,Control
16747,1,Control
16881,0,Test
17008,1,Control
17036,1,Control
17160,1,Control
17170,1,Test
17318,0,Test
17404,1,Test
18549,1,Test
18660,0,Control
18973,1,Control
19060,0,Test
19613,0,Control
19782,1,Control
19813,1,Control
19832,1,Control
20091,1,Control
20185,1,Test
20537,1,Control
20564,1,Test
20643,1,Test
20668,0,Test
20898,0,Control
21200,0,Test
21242,1,Control
21281,1,Test
21353,1,Control
21403,0,Test
21498,1,Control
21522,0,Test
21596,1,Test
21719,0,Control
21940,1,Control
21970,1,Control
22007,1,Test
22793,0,Test
22885,0,Control
23276,1,Control
23864,1,Control
23914,1,Test
24079,0,Control
24443,1,Test
24572,1,Test
24703,1,Test
24710,1,Control
24841,1,Test
25022,1,Test
25026,1,Test
25043,1,Control
25766,1,Control
26036,1,Test
26070,1,Test
26105,1,Test
26211,1,Control
26286,0,Control
26696,0,Test
27021,1,Control
27075,1,Test
27241,1,Control
27554,1,Control
27764,1,Test
27907,1,Test
27988,1,Control
28241,1,Test
28371,1,Test
28542,1,Control
28705,1,Control
28845,1,Control
28857,1,Control
29227,1,Test
29527,1,Test
29595,1,Control
30318,1,Test
30462,0,Test
30493,1,Test
31191,0,Control
31264,1,Control
31336,1,Test
31404,1,Test
31499,1,Test
31502,1,Control
31597,1,Test
31715,1,Control
31766,0,Test
32197,1,Control
32305,0,Control
32471,0,Test
32521,1,Test
32746,1,Test
32859,0,Control
33190,1,Control
33265,1,Test
33463,1,Control
33472,1,Test
33752,1,Test
34067,1,Control
34101,0,Test
34267,1,Control
34501,0,Control
34603,1,Control
34608,0,Test
34631,0,Control
35010,0,Test
35087,0,Control
35091,0,Test
35138,1,Test
35181,1,Test
35257,1,Control
35346,1,Control
35417,1,Control
35476,1,Test
35922,1,Test
36109,1,Control
36342,1,Test
36363,1,Test
36430,1,Test
36432,0,Test
36555,0,Test
36986,1,Test
37064,1,Control
37295,1,Control
37408,1,Control
37423,1,Test
37667,1,Test
37691,0,Test
37705,1,Test
37897,1,Test
38275,0,Test
38283,1,Test
38340,1,Test
38551,1,Test
38685,1,Control
38714,1,Control
38775,0,Test
38930,1,Control
38963,1,Control
39004,0,Test
39075,1,Control
39566,1,Test
39968,0,Control
40283,0,Test
40439,1,Test
40969,0,Test
41122,1,Test
41142,1,Test
41199,1,Test
41237,1,Test
41516,1,Control
41652,0,Control
41924,0,Test
42082,1,Control
42296,0,Control
42349,1,Test
42725,1,Test
43494,0,Control
43645,1,Test
43766,0,Control
44060,1,Control
44216,1,Control
44705,1,Test
44860,1,Control
44932,1,Test
44995,0,Test
45131,1,Test
45232,1,Test
45485,1,Test
45510,1,Test
46223,0,Control
46790,0,Test
46934,0,Test
47402,0,Control
47571,1,Control
47860,0,Test
47933,1,Control
48241,0,Control
48424,0,Control
48431,1,Control
48448,1,Test
48724,1,Test
49412,1,Control
49450,1,Control
49709,1,Test
49998,0,Test
50053,1,Test
50090,1,Test
50185,1,Control
50271,1,Control
50325,1,Test
50599,0,Test
50643,1,Control
50692,0,Control
51493,1,Test
51526,1,Test
51706,1,Control
51814,1,Control
51902,1,Control
52111,1,Control
52309,0,Test
52384,0,Control
52456,1,Control
52461,1,Control
52743,1,Test
52765,1,Control
53094,1,Control
53123,1,Control
53126,1,Control
53169,0,Control
53396,1,Test
53990,0,Control
54231,1,Test
54291,1,Control
54363,1,Control
54477,0,Control
54893,1,Test
55059,1,Test
55265,1,Test
55333,1,Test
55448,1,Control
55951,0,Test
56294,1,Test
56529,1,Control
56570,0,Test
56782,0,Control
56923,1,Test
58001,1,Control
58194,1,Test
58196,1,Control
58456,1,Control
58589,1,Control
58676,1,Control
58867,1,Test
58917,1,Control
58962,1,Test
59089,1,Control
59152,1,Test
59360,1,Test
59605,0,Control
59782,1,Control
59802,1,Test
59860,1,Control
60101,1,Test
60483,1,Test
60802,0,Test
60958,0,Test
61007,0,Test
61487,1,Test
61650,1,Test
61961,1,Test
62058,0,Control
62284,1,Test
62498,0,Control
62503,0,Control
62754,1,Test
62791,1,Test
62805,1,Test
62837,0,Control
63001,0,Control
63377,1,Control
63507,1,Test
63796,1,Test
63879,1,Test
63955,1,Test
64020,1,Control
64058,1,Test
64635,1,Test
64871,1,Control
64885,0,Test
64964,1,Control
65221,1,Test
65716,1,Control
65845,1,Control
66160,1,Test
66169,1,Control
66539,1,Test
66543,0,Control
66930,0,Test
67390,1,Test
67452,1,Test
67845,0,Test
67925,1,Test
68116,0,Control
68170,0,Control
68276,1,Test
68830,1,Control
68854,1,Control
68884,0,Test
68886,1,Test
68963,1,Control
69255,1,Control
69568,0,Test
69591,0,Test
69598,1,Control
70225,1,Control
70576,1,Test
70863,0,Test
71159,0,Test
71296,1,Control
71476,0,Control
71626,0,Control
72074,1,Test
72221,1,Control
72388,0,Test
72395,1,Test
72915,1,Test
72916,1,Test
72988,0,Test
73331,1,Control
73335,1,Control
73453,1,Control
73615,1,Test
73648,1,Test
73910,1,Control
74169,1,Control
74564,0,Test
74844,0,Test
74976,1,Test
75033,1,Test
75381,0,Control
75490,1,Test
75642,1,Control
76424,1,Control
76429,1,Test
76481,1,Test
76635,0,Test
76775,0,Test
76776,1,Control
77071,1,Control
77276,1,Test
77513,1,Test
77651,1,Test
77933,1,Test
78720,0,Test
78728,0,Control
78779,0,Test
78917,0,Control
79127,1,Control
79229,0,Control
79452,1,Test
79571,1,Control
79669,0,Test
79679,1,Control
79819,0,Control
79897,1,Test
80006,1,Test
80126,1,Test
80127,1,Control
80241,0,Control
80275,1,Test
80479,1,Test
80559,1,Control
80801,0,Test
80915,1,Control
81102,1,Control
81119,0,Test
81303,1,Test
81601,1,Control
81720,1,Test
81816,0,Control
81976,1,Control
82206,1,Test
82376,1,Control
82560,0,Test
82566,1,Control
82712,0,Control
82723,0,Control
82772,1,Test
82869,1,Control
83158,1,Control
83447,1,Control
83507,1,Test
83585,1,Test
83683,0,Control
83795,1,Test
84108,1,Control
84464,1,Test
84480,1,Control
84596,0,Test
84624,1,Control
84658,1,Test
84976,1,Test
85097,0,Control
85286,0,Control
85515,0,Control
85793,1,Control
86035,1,Test
86499,1,Control
86616,1,Control
86699,1,Control
86780,0,Test
86877,1,Test
87162,1,Control
87218,1,Control
87300,1,Control
87424,1,Test
87449,1,Test
87915,0,Test
88378,0,Control
88723,1,Control
88759,1,Control
88986,0,Test
89039,1,Test
89052,1,Control
89108,1,Control
89116,1,Control
89257,0,Test
89604,1,Test
89645,0,Control
89693,1,Test
89812,0,Test
89959,1,Test
90324,1,Test
90360,1,Test
90383,0,Test
90596,1,Control
91110,1,Test
91254,1,Test
91443,1,Test
91633,1,Test
92066,1,Test
92137,1,Test
92665,0,Test
92808,1,Control
92864,0,Test
93127,1,Control
93137,1,Test
93370,0,Test
93480,1,Test
93610,1,Test
93751,0,Test
93870,1,Test
93915,1,Test
94012,1,Control
94234,0,Test
94510,0,Control
94552,0,Test
94662,0,Test
94767,1,Test
94778,1,Control
94914,0,Test
95035,1,Test
95199,1,Test
95453,1,Test
96190,1,Test
96548,0,Control
96787,1,Test
96845,0,Control
97147,0,Test
97170,0,Control
97322,0,Control
97424,1,Test
97590,1,Test
97723,1,Control
97966,0,Control
98248,0,Test
98337,1,Test
98860,1,Control
99149,1,Control
99208,1,Test
99811,1,Control
100118,0,Test
100250,1,Test
100503,1,Control
100888,1,Control
100940,0,Test
101143,0,Control
101220,0,Test
101246,0,Control
101818,1,Control
102859,0,Control
102884,0,Test
103515,1,Control
103622,1,Test
103627,1,Test
103669,1,Test
104190,0,Test
104328,1,Control
104643,0,Test
104781,1,Control
104884,1,Control
104972,1,Test
105007,0,Control
105026,1,Control
105357,1,Control
105360,1,Control
105623,1,Control
106102,0,Test
106137,0,Test
106457,0,Control
106501,1,Test
108335,0,Control
108419,1,Test
108438,1,Control
108892,1,Test
109175,0,Control
109413,0,Control
109465,1,Control
109662,1,Test
109859,1,Control
109932,0,Control
110028,1,Test
110212,1,Test
110288,0,Test
110772,1,Test
110890,0,Control
111012,1,Control
111162,0,Test
111304,1,Control
111477,0,Control
112128,1,Control
112766,1,Test
113597,0,Test
113852,1,Test
113903,0,Test
113951,1,Test
113964,0,Test
114459,0,Control
114541,1,Control
114542,1,Test
114566,1,Control
114780,0,Control
115163,1,Test
115570,1,Test
115597,0,Control
115834,0,Control
115839,0,Test
115973,1,Control
116248,0,Test
116345,1,Control
116384,1,Test
116505,0,Control
116682,0,Control
116693,1,Control
117032,1,Test
117276,1,Test
117320,1,Control
117457,1,Test
117520,1,Test
117621,1,Control
117883,0,Control
117916,1,Test
117979,1,Control
118358,1,Control
118415,1,Control
118446,1,Test
118576,0,Test
118723,0,Control
118964,1,Control
118966,1,Test
119006,0,Test
119599,0,Test
119634,1,Test
120089,1,Test
120309,1,Control
120351,1,Test
120660,1,Test
120830,1,Test
120872,1,Control
121029,1,Test
121238,1,Test
121354,1,Test
121536,0,Test
121672,1,Test
122093,0,Test
122493,0,Control
122526,1,Test
122790,1,Test
123141,0,Control
123311,1,Test
123552,0,Control
123853,0,Test
124118,1,Control
124572,1,Control
124614,1,Test
124624,1,Control
124646,0,Test
124916,1,Control
125022,1,Control
125124,0,Test
125273,0,Control
125305,1,Control
125679,1,Control
125750,0,Test
126090,0,Control
126171,1,Control
126259,1,Test
126285,1,Control
126288,1,Test
126309,0,Control
126524,1,Test
126758,1,Test
126759,1,Control
126853,1,Test
126893,0,Control
127331,1,Test
127396,1,Test
127477,0,Control
127825,1,Test
127921,1,Test
128147,0,Control
128230,1,Test
128801,1,Control
128919,1,Test
128983,0,Control
129549,1,Control
129659,1,Control
130031,1,Control
130452,1,Test
130952,1,Test
131064,0,Control
131973,0,Test
132547,0,Control
133096,1,Test
133101,0,Control
133340,0,Test
133394,1,Test
133471,1,Control
133487,0,Control
133522,1,Control
133565,0,Control
133631,1,Control
133742,1,Test
133779,0,Test
134164,0,Test
134207,1,Control
134282,1,Test
134286,0,Control
134582,1,Control
134657,1,Control
134829,1,Control
135199,1,Control
135254,0,Test
135842,0,Control
135917,1,Test
135969,1,Test
136138,1,Control
136237,1,Control
136873,0,Test
136978,1,Test
136986,0,Control
137016,1,Test
137061,1,Test
137412,1,Test
137555,1,Test
137781,0,Test
137816,1,Test
137933,0,Test
138002,1,Test
138093,0,Control
138395,0,Control
138686,0,Control
138741,1,Test
138790,1,Test
139079,1,Control
139808,1,Test
139872,0,Test
139979,1,Test
139996,0,Test
140020,1,Test
140116,1,Control
140488,1,Control
140489,1,Control
140683,1,Test
140690,0,Control
141417,1,Test
141591,0,Control
141602,1,Control
141643,1,Test
142351,0,Test
142579,1,Control
142667,0,Control
142695,0,Test
142725,1,Control
143218,1,Control
143267,1,Test
143271,1,Test
143610,1,Control
143688,1,Control
143691,0,Control
144169,1,Control
144244,1,Control
144678,1,Control
144773,1,Control
145106,1,Test
145810,1,Test
146072,1,Test
146205,1,Control
146317,1,Control
146390,1,Test
146579,1,Test
146603,0,Control
147033,1,Control
147077,1,Control
147316,1,Control
147852,1,Test
148037,1,Control
148076,0,Control
148099,1,Control
148217,1,Test
148347,1,Test
148369,1,Test
148391,1,Test
148445,1,Control
148448,1,Test
148850,1,Test
148954,1,Control
149108,1,Test
149192,0,Test
149265,0,Test
149593,0,Control
149635,0,Test
149685,0,Control
150095,1,Test
151250,0,Test
151444,0,Control
151897,1,Test
152356,0,Control
152661,1,Test
153841,1,Control
154143,1,Test
154147,1,Test
154150,1,Control
154458,0,Control
154640,1,Control
154658,0,Control
154782,0,Test
154809,1,Test
155526,1,Control
156105,1,Test
156894,0,Control
156945,0,Control
157106,1,Test
157209,1,Test
157852,0,Control
157871,0,Control
158047,1,Test
158141,1,Test
158201,0,Test
159268,1,Control
159558,1,Test
159617,1,Control
159687,1,Test
159728,0,Test
159823,1,Control
159875,1,Test
159908,0,Test
159970,0,Test
160085,0,Control
160144,1,Test
160466,1,Control
160616,1,Control
160654,1,Test
160741,1,Test
160938,0,Control
161074,0,Control
161108,0,Control
161127,1,Control
161440,1,Test
161491,1,Control
161771,1,Test
161792,0,Control
162127,1,Test
162388,0,Test
162575,1,Control
162867,0,Test
162894,1,Test
163907,1,Test
164324,0,Test
165301,1,Control
165428,1,Control
165765,1,Test
165890,1,Control
165900,1,Test
166017,1,Test
166154,0,Test
166289,1,Control
166315,1,Test
166702,1,Control
166715,0,Control
167496,0,Control
168266,1,Test
168539,1,Test
